problem,family,algorithm,trial,seed,budget,evaluations,best_value,runtime_seconds
Rastrigin,continuous,MonteCarlo,21,15047,1000,1000,72.84018572332107,0.05374329999995098
Rastrigin,continuous,MonteCarlo,22,15048,1000,1000,68.3071145150086,0.024241600000095787
Rastrigin,continuous,MonteCarlo,23,15049,1000,1000,44.314249389996796,0.02410200000031182
Rastrigin,continuous,MonteCarlo,24,15050,1000,1000,63.24029044892194,0.022977200000241282
Rastrigin,continuous,MonteCarlo,25,15051,1000,1000,66.21622710529667,0.02187179999964428
Rastrigin,continuous,MonteCarlo,26,15052,1000,1000,47.74264922099217,0.019078100000115228
Rastrigin,continuous,MonteCarlo,27,15053,1000,1000,62.71052892511737,0.019211400000131107
Rastrigin,continuous,MonteCarlo,28,15054,1000,1000,55.37632810437907,0.01844589999927848
Rastrigin,continuous,MonteCarlo,29,15055,1000,1000,53.85111344427168,0.018118500000127824
Rastrigin,continuous,MonteCarlo,30,15056,1000,1000,65.3272152016677,0.017349499999909312
Rosenbrock,continuous,GA,1,22027,1000,1000,8.260576439928926,0.051303700000062236
Rosenbrock,continuous,GA,2,22028,1000,1000,6.230774922928329,0.052565900000445254
Rosenbrock,continuous,GA,3,22029,1000,1000,6.970780431925232,0.09649559999979829
Rosenbrock,continuous,GA,4,22030,1000,1000,8.764771551087193,0.09787969999979396
Rosenbrock,continuous,GA,5,22031,1000,1000,3.9230404851787113,0.05897430000004533
Rosenbrock,continuous,GA,6,22032,1000,1000,4.940181183862147,0.051833600000463775
Rosenbrock,continuous,GA,7,22033,1000,1000,9.092619868208894,0.05149210000035964
Rosenbrock,continuous,GA,8,22034,1000,1000,7.867673559949265,0.044199200000548444
Rosenbrock,continuous,GA,9,22035,1000,1000,8.040468076131747,0.0422484999999142
Rosenbrock,continuous,GA,10,22036,1000,1000,7.400857869637896,0.0415249000006952
Rosenbrock,continuous,GA,11,22037,1000,1000,5.619139568115852,0.041898499999661
Rosenbrock,continuous,GA,12,22038,1000,1000,8.343206259216078,0.06297459999950661
Rosenbrock,continuous,GA,13,22039,1000,1000,7.248161744056611,0.047928800000590854
Rosenbrock,continuous,GA,14,22040,1000,1000,8.233408052423057,0.04454410000016651
Rosenbrock,continuous,GA,15,22041,1000,1000,12.63104203869299,0.04193639999994048
Rosenbrock,continuous,GA,16,22042,1000,1000,4.100252580653357,0.04781050000019604
Rosenbrock,continuous,GA,17,22043,1000,1000,7.07935660999197,0.057005100000424136
Rosenbrock,continuous,GA,18,22044,1000,1000,6.888028412896278,0.053304600000046776
Rosenbrock,continuous,GA,19,22045,1000,1000,6.882586011160302,0.04696550000062416
Rosenbrock,continuous,GA,20,22046,1000,1000,7.931598956127196,0.04966430000058608
Rosenbrock,continuous,GA,21,22047,1000,1000,6.664821890097217,0.04949670000041806
Rosenbrock,continuous,GA,22,22048,1000,1000,6.446469630589615,0.04395289999956731
Rosenbrock,continuous,GA,23,22049,1000,1000,7.928576055378785,0.051570300000093994
Rosenbrock,continuous,GA,24,22050,1000,1000,6.699756279015328,0.04972070000076201
Rosenbrock,continuous,GA,25,22051,1000,1000,3.3817167270224155,0.05129739999938465
Rosenbrock,continuous,GA,26,22052,1000,1000,3.978915619447478,0.04811630000040168
Rosenbrock,continuous,GA,27,22053,1000,1000,8.155582237538903,0.05090760000075534
Rosenbrock,continuous,GA,28,22054,1000,1000,6.685622470239158,0.04924879999998666
Rosenbrock,continuous,GA,29,22055,1000,1000,16.84500686116762,0.051681599999938044
Rosenbrock,continuous,GA,30,22056,1000,1000,5.7841241877612175,0.04872330000034708
Rosenbrock,continuous,PSO,1,23027,1000,1000,13.538397022972791,0.010726900000008754
Rosenbrock,continuous,PSO,2,23028,1000,1000,7.395573183583457,0.010066900000310852
Rosenbrock,continuous,PSO,3,23029,1000,1000,53.940617289814924,0.010416299999633338
Rosenbrock,continuous,PSO,4,23030,1000,1000,8.931489179204846,0.011099699999249424
Rosenbrock,continuous,PSO,5,23031,1000,1000,12.399823004271902,0.011228299999856972
Rosenbrock,continuous,PSO,6,23032,1000,1000,89.13692080727131,0.010459200000696
Rosenbrock,continuous,PSO,7,23033,1000,1000,26.348945988933295,0.010840599999937695
Rosenbrock,continuous,PSO,8,23034,1000,1000,13.795938318489693,0.010178000000450993
Rosenbrock,continuous,PSO,9,23035,1000,1000,7.87857600443927,0.011805099999946833
Rosenbrock,continuous,PSO,10,23036,1000,1000,9.168818827438091,0.010029000000031374
Rosenbrock,continuous,PSO,11,23037,1000,1000,9.550434628473527,0.010319699999854492
Rosenbrock,continuous,PSO,12,23038,1000,1000,14.9008833182106,0.009781300000213378
Rosenbrock,continuous,PSO,13,23039,1000,1000,9.483897050525831,0.010593400000288966
Rosenbrock,continuous,PSO,14,23040,1000,1000,11.630829678756914,0.009759899999153276
Rosenbrock,continuous,PSO,15,23041,1000,1000,10.796810453602937,0.009716100000332517
Rosenbrock,continuous,PSO,16,23042,1000,1000,8.689544441247323,0.009982399999898917
Rosenbrock,continuous,PSO,17,23043,1000,1000,153.8330790596037,0.011613899999247224
Rosenbrock,continuous,PSO,18,23044,1000,1000,3.8365218745929903,0.010478500000317581
Rosenbrock,continuous,PSO,19,23045,1000,1000,8.969011989765068,0.010264300000017101
Rosenbrock,continuous,PSO,20,23046,1000,1000,85.02538123772271,0.011213599999791768
Rosenbrock,continuous,PSO,21,23047,1000,1000,7.982044323067614,0.010721100000409933
Rosenbrock,continuous,PSO,22,23048,1000,1000,18.335212490543963,0.011660699999993085
Rosenbrock,continuous,PSO,23,23049,1000,1000,42.34600277019985,0.010302199999387085
Rosenbrock,continuous,PSO,24,23050,1000,1000,6.424024158859373,0.010692400000152702
Rosenbrock,continuous,PSO,25,23051,1000,1000,45.22441602870328,0.010724700000537268
